"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"06.03.2019","5.4288","5.3868","5.4474","5.3585","0.78%"
"05.03.2019","5.3870","5.3718","5.4038","5.3593","0.19%"
"04.03.2019","5.3769","5.3777","5.4040","5.3632","0.05%"
"01.03.2019","5.3742","5.3371","5.4054","5.3265","0.70%"
"28.02.2019","5.3371","5.3080","5.3427","5.3040","0.44%"
"27.02.2019","5.3136","5.3050","5.3251","5.2808","0.13%"
"26.02.2019","5.3066","5.3051","5.3215","5.2876","0.08%"
"25.02.2019","5.3026","5.3198","5.3285","5.2912","-0.30%"
"22.02.2019","5.3186","5.3159","5.3414","5.3010","-0.05%"
"21.02.2019","5.3214","5.3288","5.3455","5.2982","-0.06%"
"20.02.2019","5.3244","5.2838","5.3322","5.2748","0.79%"
"19.02.2019","5.2828","5.2931","5.3247","5.2786","-0.48%"
"18.02.2019","5.3083","5.2817","5.3231","5.2762","0.70%"
"15.02.2019","5.2714","5.2704","5.3111","5.2430","-0.03%"
"14.02.2019","5.2729","5.2829","5.3252","5.2572","-0.23%"
"13.02.2019","5.2850","5.2538","5.2985","5.2352","0.64%"
"12.02.2019","5.2516","5.2787","5.2938","5.2470","-0.50%"
"11.02.2019","5.2779","5.2499","5.2930","5.2358","0.58%"
"08.02.2019","5.2474","5.2643","5.2781","5.2220","-0.37%"
"07.02.2019","5.2668","5.2176","5.2970","5.2085","0.96%"
"06.02.2019","5.2168","5.2014","5.2414","5.1977","0.35%"
"05.02.2019","5.1985","5.2217","5.2259","5.1790","-0.38%"
"04.02.2019","5.2182","5.2031","5.2444","5.2001","0.19%"
"01.02.2019","5.2084","5.1585","5.2308","5.1585","0.85%"
"31.01.2019","5.1645","5.2265","5.2462","5.1589","-1.16%"
"30.01.2019","5.2252","5.3095","5.3253","5.2090","-1.59%"
"29.01.2019","5.3098","5.3238","5.3647","5.2963","-0.34%"
"28.01.2019","5.3279","5.2585","5.3432","5.2432","1.12%"
"25.01.2019","5.2688","5.2615","5.2926","5.2455","0.07%"
"24.01.2019","5.2650","5.2848","5.3017","5.2446","-0.40%"
"23.01.2019","5.2860","5.3397","5.3578","5.2727","-1.08%"
"22.01.2019","5.3435","5.3265","5.3731","5.3216","0.35%"
"21.01.2019","5.3247","5.3258","5.3589","5.3144","-0.07%"
"18.01.2019","5.3283","5.3426","5.3777","5.3152","-0.37%"
"17.01.2019","5.3480","5.3326","5.3921","5.3321","0.22%"
"16.01.2019","5.3363","5.4500","5.4559","5.3263","-2.03%"
"15.01.2019","5.4466","5.4461","5.4715","5.4219","0.03%"
"14.01.2019","5.4447","5.4630","5.5534","5.4310","-0.19%"
"11.01.2019","5.4550","5.4196","5.5055","5.4000","0.71%"
"10.01.2019","5.4168","5.4801","5.5083","5.3975","-1.10%"
"09.01.2019","5.4768","5.4805","5.5486","5.4375","-0.08%"
"08.01.2019","5.4811","5.3814","5.5155","5.3740","1.79%"
"07.01.2019","5.3848","5.3362","5.4153","5.3171","1.01%"
"04.01.2019","5.3311","5.4587","5.4778","5.3058","-2.48%"
"03.01.2019","5.4664","5.4002","5.8300","5.3857","1.22%"
"02.01.2019","5.4003","5.3010","5.4215","5.2737","2.02%"
"01.01.2019","5.2933","5.2896","5.2933","5.2540","0.09%"
"31.12.2018","5.2887","5.2725","5.3220","5.2530","0.31%"
"28.12.2018","5.2725","5.2850","5.3008","5.2430","-0.24%"
"27.12.2018","5.2850","5.2749","5.3073","5.2644","0.16%"
"26.12.2018","5.2766","5.2965","5.3088","5.2702","-0.63%"
"25.12.2018","5.3101","5.3003","5.3560","5.2901","0.40%"
"24.12.2018","5.2890","5.3197","5.3251","5.2763","-0.55%"
"21.12.2018","5.3181","5.2619","5.3213","5.2300","1.01%"
"20.12.2018","5.2649","5.2928","5.3303","5.2255","-0.40%"
"19.12.2018","5.2861","5.3430","5.3551","5.1969","-1.10%"
"18.12.2018","5.3450","5.3697","5.3902","5.3250","-0.44%"
"17.12.2018","5.3686","5.3639","5.3973","5.3570","0.10%"
"14.12.2018","5.3635","5.3352","5.4219","5.3301","0.46%"
"13.12.2018","5.3392","5.3520","5.3917","5.2990","-0.17%"
"12.12.2018","5.3482","5.3703","5.4016","5.3309","-0.32%"
"11.12.2018","5.3653","5.3189","5.4045","5.3010","0.76%"
"10.12.2018","5.3248","5.2993","5.3580","5.2666","0.41%"
"07.12.2018","5.3029","5.3308","5.3518","5.2490","-0.67%"
"06.12.2018","5.3386","5.3258","5.4050","5.3176","0.23%"
"05.12.2018","5.3262","5.3833","5.4528","5.3020","-1.14%"
"04.12.2018","5.3875","5.2550","5.4623","5.2332","2.62%"
"03.12.2018","5.2501","5.2207","5.2938","5.1448","0.72%"
"30.11.2018","5.2128","5.1625","5.2571","5.1350","0.96%"
"29.11.2018","5.1631","5.2312","5.2389","5.1322","-1.13%"
"28.11.2018","5.2219","5.2789","5.2829","5.2097","-0.94%"
"27.11.2018","5.2716","5.2472","5.3003","5.2153","0.46%"
"26.11.2018","5.2477","5.2877","5.3009","5.2110","-0.75%"
"23.11.2018","5.2875","5.2870","5.3121","5.2520","-0.16%"
"22.11.2018","5.2960","5.3121","5.3517","5.2730","-0.23%"
"21.11.2018","5.3080","5.3769","5.4008","5.2786","-1.29%"
"20.11.2018","5.3776","5.2995","5.4387","5.2970","1.32%"
"19.11.2018","5.3075","5.3397","5.3734","5.2950","-0.46%"
"16.11.2018","5.3318","5.3482","5.3951","5.3033","-0.30%"
"15.11.2018","5.3481","5.4610","5.4715","5.3024","-2.09%"
